Top melhores filmes,Notas
1.Interstellar 2014,★★★½
2.La La Land 2016,★★★★★
3.Everything Everywhere All at Once 2022,★★★★★
4.Fight Club 1999,★★★★★
5.Whiplash 2014,★★★★★
6.Parasite 2019,★★★★★
7.Eternal Sunshine of the Spotless Mind 2004,★★★★½
8.Spider-Man: Into the Spider-Verse 2018,★★★½
9.The Dark Knight 2008,★★★★½
10.Pulp Fiction 1994,★★★★
11.Little Women 2019,★★★★
12.Spirited Away 2001,★★★
13.Dead Poets Society 1989,★★★½
14.The Godfather 1972,★★★★
15.The Shawshank Redemption 1994,★★★★
16.The Grand Budapest Hotel 2014,★★★★★
17.Pride & Prejudice 2005,★★★½
18.Fantastic Mr. Fox 2009,★★★★★
19.Inception 2010,★★★★
20.Howl's Moving Castle 2004,★★★½
21.The Perks of Being a Wallflower 2012,★½
22.Scream 1996,★★★
23.10 Things I Hate About You 1999,★★½
24.GoodFellas 1990,★★★★½
25.Call Me by Your Name 2017,★★★★½
26.Lady Bird 2017,★★★★½
27.Black Swan 2010,★★★½
28.Coraline 2009,★★★½
29.Scott Pilgrim vs. the World 2010,★★★★½
30.Back to the Future 1985,★★★★
31.The Empire Strikes Back 1980,★★★½
32.Portrait of a Lady on Fire 2019,★★★★
33.Inglourious Basterds 2009,★★★★½
34.Before Sunrise 1995,★★★★½
35.2001: A Space Odyssey 1968,★★★★
36.Donnie Darko 2001,★★★
37.Blade Runner 2049 2017,★★★½
38.The Shining 1980,★★★★
39.The Lord of the Rings: The Return of the King 2003,★★★★
40.Spider-Man: Across the Spider-Verse 2023,★★★★
41.Taxi Driver 1976,★★★★★
42.The Batman 2022,★★★★
43.The Truman Show 1998,★★★★½
44.Little Miss Sunshine 2006,★★★★½
45.Blade Runner 1982,★★★★½
46.Forrest Gump 1994,★★★½
47.The Lord of the Rings: The Fellowship of the Ring 2001,★★★½
48.Good Will Hunting 1997,★★★★
49.Se7en 1995,★★★★★
50.Midsommar 2019,★★★★
51.Amélie 2001,★★★★½
52.Kill Bill: Vol. 1 2003,★★★½
53.Arrival 2016,★★★★½
54.Her 2013,★★★★½
55.American Psycho 2000,★★★★
56.Gone Girl 2014,★★★★
57.The Thing 1982,★★★★
58.Aftersun 2022,★★★★
59.Mulholland Drive 2001,★★★★½
60.Jurassic Park 1993,★★★½
61.Knives Out 2019,★★★★
62.Barbie 2023,★★★★
63.In the Mood for Love 2000,★★★★
64.Django Unchained 2012,★★★★
65.Mamma Mia! 2008,★★½
66.The Social Network 2010,★★★★★
67.La Haine 1995,★★★★★
68.The Handmaiden 2016,★★★½
69.The Silence of the Lambs 1991,★★★★½
70.Hereditary 2018,★★★★½
71.The Matrix 1999,★★★★
72.There Will Be Blood 2007,★★★★★
73.Princess Mononoke 1997,★★★½
74.Perfect Blue 1997,★★★½
75.Star Wars: Episode III – Revenge of the Sith 2005,★★★
76.Alien 1979,★★★★½
77.A Clockwork Orange 1971,★★★★½
78.Trainspotting 1996,★★★★½
79.About Time 2013,★★★½
80.Chungking Express 1994,★★★★½
81.Moonlight 2016,★★★★½
82.Drive 2011,★★★★½
83.12 Angry Men 1957,★★★★½
84.Shutter Island 2010,★★★½
85.Oldboy 2003,★★★★½
86.Mad Max: Fury Road 2015,★★★★
87.The Big Lebowski 1998,★★★★★
88.Ratatouille 2007,★★★★
89.No Country for Old Men 2007,★★★★½
90.City of God 2002,★★★½
91.Baby Driver 2017,★★★½
92.Titanic 1997,★★★½
93.Lost in Translation 2003,★★★★
94.Star Wars 1977,★★★½
95.Prisoners 2013,★★★½
96.Apocalypse Now 1979,★★★★
97.The Godfather: Part II 1974,★★★★★
98.Fallen Angels 1995,★★★★
99.The Lighthouse 2019,★★★★
100.The Wolf of Wall Street 2013,★★★½
